"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","AGtitle","LineNumber","LineNumber","SAG","SAGtitle","IncludeInTOA","IncludeInTOA","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype"
"72",2016,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","020","020","112","Modular Support Brigades","Y","Y","U",2014,"Total",151142,NA,NA,NA,NA
"73",2016,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","030","030","113","Echelons Above Brigade","Y","Y","U",2014,"Total",744627,NA,NA,NA,NA
"74",2016,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","040","040","114","Theater Level Assets","Y","Y","U",2014,"Total",107200,NA,NA,NA,NA
"75",2016,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","050","050","115","Land Forces Operations Support","Y","Y","U",2014,"Total",39946,NA,NA,NA,NA
"76",2016,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","060","060","116","Aviation Assets","Y","Y","U",2014,"Total",921319,NA,NA,NA,NA
"77",2016,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness","070","070","121","Force Readiness Operations Support","Y","Y","U",2014,"Total",691910,NA,NA,NA,NA
"78",2016,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness","080","080","122","Land Forces Systems Readiness","Y","Y","U",2014,"Total",56900,NA,NA,NA,NA
"79",2016,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness","090","090","123","Land Forces Depot Maintenance","Y","Y","U",2014,"Total",213610,NA,NA,NA,NA
"80",2016,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness Support","100","100","131","Base Operations Support","Y","Y","U",2014,"Total",1095812,NA,NA,NA,NA
"81",2016,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness Support","110","110","132","Facilities Sustainment, Restoration & Modernization","Y","Y","U",2014,"Total",731491,NA,NA,NA,NA
"82",2016,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness Support","120","120","133","Management and Operational Headquarters","Y","Y","U",2014,"Total",1069651,NA,NA,NA,NA
"83",2016,"2065A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Logistics Operations","130","130","421","Servicewide Transportation","Y","Y","U",2014,"Total",6986,NA,NA,NA,NA
"84",2016,"2065A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Servicewide Support","140","140","431","Administration","Y","Y","U",2014,"Total",62148,NA,NA,NA,NA
"85",2016,"2065A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Servicewide Support","150","150","432","Servicewide Communications","Y","Y","U",2014,"Total",43765,NA,NA,NA,NA
"86",2016,"2065A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Servicewide Support","160","160","433","Manpower Management","Y","Y","U",2014,"Total",5922,NA,NA,NA,NA
"87",2016,"2065A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Servicewide Support","170","170","434","Other Personnel Support","Y","Y","U",2014,"Total",221719,NA,NA,NA,NA
"88",2016,"2065A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Servicewide Support","180","180","437","Real Estate Management","Y","Y","U",2014,"Total",1485,NA,NA,NA,NA
"89",2016,"2065A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Closed Account Adjustments","190","190","451","Closed Account Adjustments","Y","Y","U",2014,"Total",1421,NA,NA,NA,NA
"90",2016,"2091A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","010","010","110","Sustainment","Y","Y","U",2014,"Total",0,NA,NA,NA,NA
"91",2016,"2091A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","020","020","120","Infrastructure","Y","Y","U",2014,"Total",0,NA,NA,NA,NA
"92",2016,"2091A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","030","030","130","Equipment and Transportation","Y","Y","U",2014,"Total",0,NA,NA,NA,NA
"93",2016,"2091A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","040","040","140","Training and Operations","Y","Y","U",2014,"Total",0,NA,NA,NA,NA
"94",2016,"2091A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","Closed Account Adjustments","050","050","100","Afghanistan Security Forces Fund","Y","Y","U",2014,"Total",3027440,NA,NA,NA,NA
"95",2016,"2091A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","Interior Forces","060","060","210","Sustainment","Y","Y","U",2014,"Total",0,NA,NA,NA,NA
"96",2016,"2091A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","Interior Forces","070","070","220","Infrastructure","Y","Y","U",2014,"Total",0,NA,NA,NA,NA
"97",2016,"2091A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","Interior Forces","080","080","230","Equipment and Transportation","Y","Y","U",2014,"Total",0,NA,NA,NA,NA
"98",2016,"2091A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","Interior Forces","090","090","240","Training and Operations","Y","Y","U",2014,"Total",0,NA,NA,NA,NA
"99",2016,"2091A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","Closed Account Adjustments","100","100","200","Ministry Of Interior","Y","Y","U",2014,"Total",910500,NA,NA,NA,NA
"100",2016,"2091A","Afghanistan Security Forces Fund","ARMY","04","Detainee Ops","Related Activities","110","110","410","Sustainment","Y","Y","U",2014,"Total",0,NA,NA,NA,NA
"101",2016,"2091A","Afghanistan Security Forces Fund","ARMY","04","Detainee Ops","Related Activities","120","120","440","Training and Operations","Y","Y","U",2014,"Total",0,NA,NA,NA,NA
"102",2016,"2091A","Afghanistan Security Forces Fund","ARMY","04","Detainee Ops","Closed Account Adjustments","130","130","400","Iraq Training Facility","Y","Y","U",2014,"Total",24400,NA,NA,NA,NA
"103",2016,"2096A","Afghanistan Infrastructure Fund","ARMY","01","Afghanistan Infrastructure Fund","Closed Account Adjustments","010","010","110","Power","Y","Y","U",2014,"Total",199000,NA,NA,NA,NA
"104",2016,"2097A","Iraq Train and Equip Fund","ARMY","01","Iraq Train and Equip Fund","Defense Forces","010","010","140","Iraq Train and Equip Fund","Y","Y","U",2014,"Total",0,NA,NA,NA,NA
"105",2016,"2098A","Syria Train and Equip Fund","ARMY","01","Syria Train and Equip Fund","Defense Forces","010","010","140","Syria Train and Equip Fund","Y","Y","U",2014,"Total",0,NA,NA,NA,NA
"106",2016,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","010","010","1A1A","Mission and Other Flight Operations","Y","Y","U",2014,"Total",4972221,NA,NA,NA,NA
"107",2016,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","020","020","1A2A","Fleet Air Training","Y","Y","U",2014,"Total",1746583,NA,NA,NA,NA
"108",2016,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","030","030","1A3A","Aviation Technical Data & Engineering Services","Y","Y","U",2014,"Total",39317,NA,NA,NA,NA
"109",2016,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","040","040","1A4A","Air Operations and Safety Support","Y","Y","U",2014,"Total",96617,NA,NA,NA,NA
"110",2016,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","050","050","1A4N","Air Systems Support","Y","Y","U",2014,"Total",476445,NA,NA,NA,NA
"111",2016,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","060","060","1A5A","Aircraft Depot Maintenance","Y","Y","U",2014,"Total",1008075,NA,NA,NA,NA
"112",2016,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","070","070","1A6A","Aircraft Depot Operations Support","Y","Y","U",2014,"Total",38450,NA,NA,NA,NA
"113",2016,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","080","080","1A9A","Aviation Logistics","Y","Y","U",2014,"Total",435706,NA,NA,NA,NA
"114",2016,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Ship Operations","090","090","1B1B","Mission and Other Ship Operations","Y","Y","U",2014,"Total",5045938,NA,NA,NA,NA
"115",2016,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Ship Operations","100","100","1B2B","Ship Operations Support & Training","Y","Y","U",2014,"Total",749933,NA,NA,NA,NA
"116",2016,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Ship Operations","110","110","1B4B","Ship Depot Maintenance","Y","Y","U",2014,"Total",7663471,NA,NA,NA,NA
"117",2016,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Ship Operations","120","120","1B5B","Ship Depot Operations Support","Y","Y","U",2014,"Total",1399824,NA,NA,NA,NA
"118",2016,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","130","130","1C1C","Combat Communications","Y","Y","U",2014,"Total",821800,NA,NA,NA,NA
"119",2016,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","140","140","1C2C","Electronic Warfare","Y","Y","U",2014,"Total",88097,NA,NA,NA,NA
"120",2016,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","150","150","1C3C","Space Systems and Surveillance","Y","Y","U",2014,"Total",246733,NA,NA,NA,NA
"121",2016,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","160","160","1C4C","Warfare Tactics","Y","Y","U",2014,"Total",528585,NA,NA,NA,NA
"122",2016,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","170","170","1C5C","Operational Meteorology and Oceanography","Y","Y","U",2014,"Total",352664,NA,NA,NA,NA
"123",2016,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","180","180","1C6C","Combat Support Forces","Y","Y","U",2014,"Total",2009951,NA,NA,NA,NA
"124",2016,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","190","190","1C7C","Equipment Maintenance","Y","Y","U",2014,"Total",142422,NA,NA,NA,NA
"125",2016,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","200","200","1C8C","Depot Operations Support","Y","Y","U",2014,"Total",2344,NA,NA,NA,NA
