"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","LineNumber","ProgramElement","ProgramElementTitle","LineNumber","IncludeInTOA","IncludeInTOA","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype"
"90",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","90  ","0604713A","Combat Feeding, Clothing, and Equipment","90  ","Y","Y","U",2014,"Total",1874,NA,NA,NA,NA
"91",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","91  ","0604715A","Non-System Training Devices - Eng Dev","91  ","Y","Y","U",2014,"Total",22168,NA,NA,NA,NA
"92",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","92  ","0604741A","Air Defense Command, Control and Intelligence - Eng Dev","92  ","Y","Y","U",2014,"Total",38412,NA,NA,NA,NA
"93",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","93  ","0604742A","Constructive Simulation Systems Development","93  ","Y","Y","U",2014,"Total",19596,NA,NA,NA,NA
"94",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","94  ","0604746A","Automatic Test Equipment Development","94  ","Y","Y","U",2014,"Total",6498,NA,NA,NA,NA
"95",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","95  ","0604760A","Distributive Interactive Simulations (DIS) - Eng Dev","95  ","Y","Y","U",2014,"Total",12193,NA,NA,NA,NA
"96",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","96  ","0604780A","Combined Arms Tactical Trainer (CATT) Core","96  ","Y","Y","U",2014,"Total",26720,NA,NA,NA,NA
"97",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","97  ","0604798A","Brigade Analysis, Integration and Evaluation","97  ","Y","Y","U",2014,"Total",91427,NA,NA,NA,NA
"98",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","98  ","0604802A","Weapons and Munitions - Eng Dev","98  ","Y","Y","U",2014,"Total",16770,NA,NA,NA,NA
"99",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","99  ","0604804A","Logistics and Engineer Equipment - Eng Dev","99  ","Y","Y","U",2014,"Total",43497,NA,NA,NA,NA
"100",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","100 ","0604805A","Command, Control, Communications Systems - Eng Dev","100 ","Y","Y","U",2014,"Total",7131,NA,NA,NA,NA
"101",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","101 ","0604807A","Medical Materiel/Medical Biological Defense Equipment - Eng Dev","101 ","Y","Y","U",2014,"Total",33890,NA,NA,NA,NA
"102",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","102 ","0604808A","Landmine Warfare/Barrier - Eng Dev","102 ","Y","Y","U",2014,"Total",87895,NA,NA,NA,NA
"103",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","103 ","0604814A","Artillery Munitions - EMD","103 ","Y","Y","U",2014,"Total",6352,NA,NA,NA,NA
"104",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","104 ","0604818A","Army Tactical Command & Control Hardware & Software","104 ","Y","Y","U",2014,"Total",22900,NA,NA,NA,NA
"105",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","105 ","0604820A","Radar Development","105 ","Y","Y","U",2014,"Total",1796,NA,NA,NA,NA
"106",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","106 ","0604822A","General Fund Enterprise Business System (GFEBS)","106 ","Y","Y","U",2014,"Total",3218,NA,NA,NA,NA
"107",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","107 ","0604823A","Firefinder","107 ","Y","Y","U",2014,"Total",17734,NA,NA,NA,NA
"108",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","108 ","0604827A","Soldier Systems - Warrior Dem/Val","108 ","Y","Y","U",2014,"Total",25477,NA,NA,NA,NA
"109",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","109 ","0604854A","Artillery Systems - EMD","109 ","Y","Y","U",2014,"Total",117241,NA,NA,NA,NA
"110",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","110 ","0605013A","Information Technology Development","110 ","Y","Y","U",2014,"Total",59329,NA,NA,NA,NA
"111",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","111 ","0605018A","Integrated Personnel and Pay System-Army (IPPS-A)","111 ","Y","Y","U",2014,"Total",34400,NA,NA,NA,NA
"112",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","112 ","0605028A","Armored Multi-Purpose Vehicle (AMPV)","112 ","Y","Y","U",2014,"Total",27345,NA,NA,NA,NA
"113",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","113 ","0605030A","Joint Tactical Network Center (JTNC)","113 ","Y","Y","U",2014,"Total",65849,NA,NA,NA,NA
"114",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","114 ","0605031A","Joint Tactical Network (JTN)","114 ","Y","Y","U",2014,"Total",0,NA,NA,NA,NA
"115",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","115 ","0605032A","TRACTOR TIRE","115 ","Y","Y","U",2014,"Total",0,NA,NA,NA,NA
"116",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","116 ","0605035A","Common Infrared Countermeasures (CIRCM)","116 ","Y","Y","U",2014,"Total",0,NA,NA,NA,NA
"117",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","117 ","0605051A","Aircraft Survivability Development","117 ","Y","Y","U",2014,"Total",0,NA,NA,NA,NA
"118",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","118 ","0605350A","WIN-T Increment 3 - Full Networking","118 ","Y","Y","U",2014,"Total",0,NA,NA,NA,NA
"119",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","119 ","0605380A","AMF Joint Tactical Radio System (JTRS)","119 ","Y","Y","U",2014,"Total",9874,NA,NA,NA,NA
"120",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","120 ","0605450A","Joint Air-to-Ground Missile (JAGM)","120 ","Y","Y","U",2014,"Total",15684,NA,NA,NA,NA
"121",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","121 ","0605456A","PAC-3/MSE Missile","121 ","Y","Y","U",2014,"Total",86223,NA,NA,NA,NA
"122",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","122 ","0605457A","Army Integrated Air and Missile Defense (AIAMD)","122 ","Y","Y","U",2014,"Total",358192,NA,NA,NA,NA
"123",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","123 ","0605625A","Manned Ground Vehicle","123 ","Y","Y","U",2014,"Total",96820,NA,NA,NA,NA
"124",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","124 ","0605626A","Aerial Common Sensor","124 ","Y","Y","U",2014,"Total",10377,NA,NA,NA,NA
"125",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","125 ","0605766A","National Capabilities Integration (MIP)","125 ","Y","Y","U",2014,"Total",21132,NA,NA,NA,NA
"126",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","126 ","0605812A","Joint Light Tactical Vehicle (JLTV) Engineering and Manufacturing Development Ph","126 ","Y","Y","U",2014,"Total",81388,NA,NA,NA,NA
"127",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","127 ","0605830A","Aviation Ground Support Equipment","127 ","Y","Y","U",2014,"Total",0,NA,NA,NA,NA
"128",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","128 ","0210609A","Paladin Integrated Management (PIM)","128 ","Y","Y","U",2014,"Total",0,NA,NA,NA,NA
"129",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","129 ","0303032A","TROJAN - RH12","129 ","Y","Y","U",2014,"Total",3463,NA,NA,NA,NA
"130",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","130 ","0304270A","Electronic Warfare Development","130 ","Y","Y","U",2014,"Total",10801,NA,NA,NA,NA
"131",2016,"2040A","Research, Development, Test & Eval, Army","ARMY","06","RDT&E Management Support","131 ","0604256A","Threat Simulator Development","131 ","Y","Y","U",2014,"Total",23598,NA,NA,NA,NA
