"ID","SourceFiscalYear","AccountDSI","TreasuryAgencyCode","MainAccountCode","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","LineNumber","ProgramElement","ProgramElementTitle","IncludeInTOA","Classified","FiscalYear","OriginType","PBtotal","PBtype","EnactedTotal","EnactedType","SpecialType","ActualTotal"
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes",73,"0305251A","Cyberspace Operations Forces and Force Support","Y","U",2015,"Total",,,,,,0
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",74,"0604201A","Aircraft Avionics","Y","U",2015,"Total",,,,,,39583
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",75,"0604270A","Electronic Warfare Development","Y","U",2015,"Total",,,,,,5792
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",76,"0604280A","Joint Tactical Radio","Y","U",2015,"Total",,,,,,9454
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",77,"0604290A","Mid-tier Networking Vehicular Radio (MNVR)","Y","U",2015,"Total",,,,,,9355
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",78,"0604321A","All Source Analysis System","Y","U",2015,"Total",,,,,,5532
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",79,"0604328A","TRACTOR CAGE","Y","U",2015,"Total",,,,,,19929
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",80,"0604601A","Infantry Support Weapons","Y","U",2015,"Total",,,,,,36826
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",81,"0604604A","Medium Tactical Vehicles","Y","U",2015,"Total",,,,,,202
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",82,"0604611A","JAVELIN","Y","U",2015,"Total",,,,,,4006
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",83,"0604622A","Family of Heavy Tactical Vehicles","Y","U",2015,"Total",,,,,,12768
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",84,"0604633A","Air Traffic Control","Y","U",2015,"Total",,,,,,17066
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",85,"0604641A","Tactical Unmanned Ground Vehicle (TUGV)","Y","U",2015,"Total",,,,,,2663
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",86,"0604642A","Light Tactical Wheeled Vehicles","Y","U",2015,"Total",,,,,,0
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",87,"0604645A","Armored Systems Modernization (ASM) - Eng Dev","Y","U",2015,"Total",,,,,,0
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",88,"0604710A","Night Vision Systems - Eng Dev","Y","U",2015,"Total",,,,,,58997
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",89,"0604713A","Combat Feeding, Clothing, and Equipment","Y","U",2015,"Total",,,,,,2983
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",90,"0604715A","Non-System Training Devices - Eng Dev","Y","U",2015,"Total",,,,,,8775
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",91,"0604741A","Air Defense Command, Control and Intelligence - Eng Dev","Y","U",2015,"Total",,,,,,15294
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",92,"0604742A","Constructive Simulation Systems Development","Y","U",2015,"Total",,,,,,4394
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",93,"0604746A","Automatic Test Equipment Development","Y","U",2015,"Total",,,,,,10685
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",94,"0604760A","Distributive Interactive Simulations (DIS) - Eng Dev","Y","U",2015,"Total",,,,,,9699
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",95,"0604780A","Combined Arms Tactical Trainer (CATT) Core","Y","U",2015,"Total",,,,,,33422
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",96,"0604798A","Brigade Analysis, Integration and Evaluation","Y","U",2015,"Total",,,,,,82957
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",97,"0604802A","Weapons and Munitions - Eng Dev","Y","U",2015,"Total",,,,,,17312
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",98,"0604804A","Logistics and Engineer Equipment - Eng Dev","Y","U",2015,"Total",,,,,,23652
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",99,"0604805A","Command, Control, Communications Systems - Eng Dev","Y","U",2015,"Total",,,,,,5116
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",100,"0604807A","Medical Materiel/Medical Biological Defense Equipment - Eng Dev","Y","U",2015,"Total",,,,,,29441
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",101,"0604808A","Landmine Warfare/Barrier - Eng Dev","Y","U",2015,"Total",,,,,,53579
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",102,"0604818A","Army Tactical Command & Control Hardware & Software","Y","U",2015,"Total",,,,,,29690
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",103,"0604820A","Radar Development","Y","U",2015,"Total",,,,,,5022
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration",104,"0604822A","General Fund Enterprise Business System (GFEBS)","Y","U",2015,"Total",,,,,,5500
