"ID","ProgramElement","ProgramElementTitle","BudgetActivity","BudgetActivityTitle","Account","Classified","FiscalYear","PB","App","Actual","CR","CR_OCO","OCO_PB","OCO_App","OCO_Sup"
5450,"0603901C","Directed Energy Research",3,"Advanced Technology Development",400,,2012,96329,49943,49563,,,0,0,
5451,"0604880C","Land-Based SM-3 (LBSM3)",4,"Advanced Component Development And Prototypes",400,,2012,306595,306185,299012,,,0,0,
5452,"0604881C","AEGIS SM-3 Block IIA Co-Development",4,"Advanced Component Development And Prototypes",400,,2012,424454,473843,457529,,,0,0,
5453,"0604883C","Precision Tracking Space System",4,"Advanced Component Development And Prototypes",400,,2012,160818,80723,75097,,,0,0,
5455,"0605142D8Z","Systems Engineering",6,"Management Support",400,,2012,41884,40438,39118,,,0,0,
5463,"0901560A","Continuing Resolution Programs",20,"Undistributed",2040,,2012,0,,0,,,0,,
5464,"0603130A","TRACTOR NAIL",3,"Advanced Technology Development",2040,"Classified (Named)",2012,4278,4271,4271,,,0,0,
5465,"0603131A","TRACTOR EGGS",3,"Advanced Technology Development",2040,"Classified (Named)",2012,2261,2257,2257,,,0,0,
5466,"0603461A","High Performance Computing Modernization Program",3,"Advanced Technology Development",2040,,2012,183150,227790,176533,,,0,0,
5467,"0604115A","Technology Maturation Initiatives",4,"Advanced Component Development & Prototypes",2040,,2012,10181,10165,11839,,,0,0,
5468,"0604131A","TRACTOR JUTE",4,"Advanced Component Development & Prototypes",2040,"Classified (Named)",2012,15609,15584,0,,,0,0,
5470,"0603251N","Aircraft Systems",4,"Advanced Component Development & Prototypes",1319,,2012,10497,10497,10040,,,0,0,
5471,"0604279N","ASE Self-Protection Optimization",4,"Advanced Component Development & Prototypes",1319,,2012,711,697,676,,,0,0,
5472,"0604404N","Unmanned Carrier Launched Airborne Surveillance and Strike (UCLASS) System",5,"System Development & Demonstration",1319,,2012,121150,75700,71182,,,0,0,
5473,"0605126N","Joint Theater Air and Missile Defense Organization",6,"Management Support",1319,,2012,2970,2970,2896,,,0,0,
5475,"0604717M","Marine Corps Combat Services Support",7,"Operational Systems Development",1319,,2012,400,400,392,,,0,0,
5476,"0604766M","Marine Corps Data Systems",7,"Operational Systems Development",1319,,2012,1650,1650,1617,,,0,0,
5477,"0204228N","Surface Support",7,"Operational Systems Development",1319,,2012,3377,3377,3292,,,0,0,
5478,"0303150M","WWMCCS/Global Command and Control System",7,"Operational Systems Development",1319,,2012,1250,1250,1226,,,0,0,
5479,"0305237N","Medium Range Maritime UAS",7,"Operational Systems Development",1319,,2012,15000,15000,13237,,,0,0,
5480,"0305239M","RQ-21A",7,"Operational Systems Development",1319,,2012,26301,24201,24201,,,0,0,
5481,"0901560N","Continuing Resolution Programs",20,"Undistributed",1319,,2012,0,,0,,,0,,
5482,"0604317F","Technology Transfer",4,"Advanced Component Development & Prototypes",3600,,2012,2553,2553,2474,,,0,0,
5483,"0101125F","Nuclear Weapons Modernization",5,"System Development & Demonstration",3600,,2012,93867,93867,91269,,,0,0,
5484,"0207100F","Light Attack Armed Reconnaissance (LAAR) Squadrons",5,"System Development & Demonstration",3600,,2012,23721,13721,11021,,,0,0,
5485,"0207444F","Tactical Air Control Party-Mod",7,"Operational Systems Development",3600,,2012,15978,9515,8939,,,0,0,
5486,"0401139F","Light Mobility Aircraft (LiMA)",7,"Operational Systems Development",3600,,2012,1308,0,0,,,0,0,
5488,"0901226F","Air Force Studies and Analysis Agency",7,"Operational Systems Development",3600,,2012,928,928,900,,,0,0,
5489,"0901279F","Facilities Operation - Administrative",7,"Operational Systems Development",3600,,2012,12118,12118,11745,,,0,0,
5490,"0902998F","Management HQ - ADP Support (AF)",7,"Operational Systems Development",3600,,2012,299,299,290,,,0,0,
5491,"0901560F","Continuing Resolution Programs",20,"Undistributed",3600,,2012,0,,0,,,0,,
5494,"0601110D8Z","Basic Research Initiatives",1,"Basic Research",400,,2012,14731,7482,7170,,,0,0,
5495,"0601117E","Basic Operational Medical Research Science",1,"Basic Research",400,,2012,37870,37870,44445,,,0,0,
5496,"0602115E","Biomedical Technology",2,"Applied Research",400,,2012,110000,95000,95661,,,0,0,
5497,"0602250D8Z","Systems 2020 Applied Research",2,"Applied Research",400,,2012,4381,0,0,,,0,0,
5499,"0603274C","Special Program - MDA Technology",3,"Advanced Technology Development",400,"Classified (Unnamed)",2012,61458,61371,61371,,,0,0,
5500,"0603699D8Z","Emerging Capabilities Technology Development",3,"Advanced Technology Development",400,,2012,26972,26160,43377,,,0,0,
5501,"0603902C","Next Generation Aegis Missile",3,"Advanced Technology Development",400,,2012,123456,13443,28456,,,0,0,
5502,"0604055D8Z","Operational Energy Capability Improvement",3,"Advanced Technology Development",400,,2012,20444,19925,23909,,,0,0,
5503,"0303310D8Z","CWMD Systems",3,"Advanced Technology Development",400,,2012,7788,4140,4117,,,0,0,
5504,"0603600D8Z","WALKOFF",4,"Advanced Component Development And Prototypes",400,"Classified (Named)",2012,112142,108698,90665,,,0,0,
5505,"0605022D8Z","Defense Exportability Program",5,"System Development And Demonstration",400,,2012,1929,1916,1915,,,0,0,
5506,"0605070S","DOD Enterprise Systems Development and Demonstration",5,"System Development And Demonstration",400,,2012,134285,94155,94155,,,0,0,
5507,"0605075D8Z","DCMO Policy and Integration",5,"System Development And Demonstration",400,,2012,41808,41529,27594,,,0,0,
5508,"0605210D8Z","Defense-Wide Electronic Procurement Capabilities",5,"System Development And Demonstration",400,,2012,14950,14412,14408,,,0,0,
5509,"0203345D8Z","Defense Operations Security Initiative (DOSI)",6,"Management Support",400,,2012,1777,1721,1720,,,0,0,
5510,"0909999D8Z","Financing for Cancelled Account Adjustments",6,"Management Support",400,,2012,0,0,657,,,0,0,
5511,"1105232BB","RQ-11 UAV",7,"Operational System Development",400,,2012,3000,1500,1500,,,0,0,
5512,"1105233BB","RQ-7 UAV",7,"Operational System Development",400,,2012,2900,2900,2900,,,2450,2450,
5513,"1160481BB","SOF Munitions",7,"Operational System Development",400,,2012,1500,1500,1461,,,0,0,
5514,"0901560D","Continuing Resolution Programs",20,"Undistributed",400,,2012,0,,0,,,0,,
5515,"0901560OTE","Continuing Resolution Programs",20,"Undistributed",460,,2012,0,,0,,,0,,
5517,"0901517X","Inspector General, DoD, Audit, Intelligence and Non-Criminal Investigative Activ",2,"RDT&E",107,,2012,1600,4500,4500,,,0,0,
5518,"0601101HP","In-House Laboratory Independent Research",2,"RDT&E",130,,2012,2935,2862,2827,,,0,0,
5519,"0601117HP","Basic Operational Medical Research Science",2,"RDT&E",130,,2012,0,975,1000,,,0,0,
5520,"0602115HP","Applied Biomedical Technology",2,"RDT&E",130,,2012,33805,66841,67160,,,0,0,
5521,"0602787HP","Medical Technology",2,"RDT&E",130,,2012,3694,3602,3558,,,0,0,
5522,"0603002HP","Medical Advanced Technology",2,"RDT&E",130,,2012,767,748,739,,,0,0,
5523,"0603115HP","Medical Technology Development",2,"RDT&E",130,,2012,181042,703313,713880,,,0,0,
5524,"0604110HP","Medical Products Support and Advanced Concept Development",2,"RDT&E",130,,2012,167481,189844,191536,,,0,0,
5525,"0605013HP","Information Technology Development",2,"RDT&E",130,,2012,176345,171936,162226,,,0,0,
5526,"0605145HP","Medical Products and Support Systems Development",2,"RDT&E",130,,2012,34559,33695,33073,,,0,0,
5527,"0605502HP","Small Business Innovative Research",2,"RDT&E",130,,2012,0,31470,36040,,,0,0,
5528,"0606105HP","Medical Program-Wide Activities",2,"RDT&E",130,,2012,48313,47105,46252,,,0,0,
5529,"0607100HP","Medical Products and Capabilities Enhancement Activities",2,"RDT&E",130,,2012,14765,14396,14146,,,0,0,
5531,"0708081D","Chemical Materials Agency",2,"Research, Development, Test, And Evaluation",390,,2012,4963,4963,4963,,,0,0,
5532,"0708083D","Assembled Chemical Weapons Alternatives",2,"Research, Development, Test, And Evaluation",390,,2012,401768,401768,401768,,,0,0,
5534,"0408042N","National Defense Sealift Fund",4,"Research and Development",4557,,2012,48443,48443,50632,,,0,0,
5811,"0604319A","Indirect Fire Protection Capability Increment 2-Intercept (IFPC2)",4,"Advanced Component Development & Prototypes",2040,"U",2012,,0,0,,,,0,
5813,"0604785A","Integrated Base Defense (Budget Activity 4)",4,"Advanced Component Development & Prototypes",2040,"U",2012,,0,3926,,,,0,
5814,"0604290A","Mid-tier Networking Vehicular Radio (MNVR)",5,"System Development & Demonstration",2040,"U",2012,,0,47000,,,,0,
5815,"0604798A","Brigade Analysis, Integration and Evaluation",5,"System Development & Demonstration",2040,"U",2012,,0,0,,,,0,
5816,"0605812A","Joint Light Tactical Vehicle (JLTV) Engineering and Manufacturing Development Ph",5,"System Development & Demonstration",2040,"U",2012,,0,0,,,,0,
5817,"0607665A","Family of Biometrics",7,"Operational Systems Development",2040,"U",2012,,45511,44155,,,,0,
5818,"0607865A","Patriot Product Improvement",7,"Operational Systems Development",2040,"U",2012,,0,0,,,,0,
5819,"0305235A","Vertical UAS",7,"Operational Systems Development",2040,"U",2012,,7500,4000,,,,0,
5820,"0602750N","Future Naval Capabilities Applied Research",2,"Applied Research",1319,"U",2012,,0,0,,,,0,
5821,"0603673N","Future Naval Capabilities Advanced Technology Development",3,"Advanced Technology Development",1319,"U",2012,,0,0,,,,0,
5824,"0604786N","Offensive Anti-Surface Warfare Weapon Development",4,"Advanced Component Development & Prototypes",1319,"U",2012,,0,0,,,,0,
5825,"0605812M","Joint Light Tactical Vehicle (JLTV) Engineering and Manufacturing Development Ph",4,"Advanced Component Development & Prototypes",1319,"U",2012,,0,0,,,,0,
5826,"0604376M","Marine Air Ground Task Force (MAGTF) Electronic Warfare (EW) for Aviation",5,"System Development & Demonstration",1319,"U",2012,,0,0,,,,0,
5827,"0305124N","Special Applications Program",5,"System Development & Demonstration",1319,"Classified (Unnamed)",2012,,1e+05,1e+05,,,,0,
5828,"0204460M","Ground/Air Task Oriented Radar (G/ATOR)",7,"Operational Systems Development",1319,"U",2012,,0,0,,,,0,
5829,"0604422F","Weather System Follow-on",4,"Advanced Component Development & Prototypes",3600,"U",2012,,123681,123681,,,,0,
5831,"0305164F","NAVSTAR Global Positioning System (User Equipment) (SPACE)",4,"Advanced Component Development & Prototypes",3600,"U",2012,,0,0,,,,0,
5832,"0604932F","Long Range Standoff Weapon",5,"System Development & Demonstration",3600,"U",2012,,0,0,,,,0,
5833,"0604933F","ICBM Fuze Modernization",5,"System Development & Demonstration",3600,"U",2012,,0,0,,,,0,
5834,"0605213F","F-22 Modernization Increment 3.2B",5,"System Development & Demonstration",3600,"U",2012,,0,0,,,,0,
5835,"0605931F","B-2 Defensive Management System",5,"System Development & Demonstration",3600,"U",2012,,0,0,,,,0,
5836,"0207604F","Readiness Training Ranges, Operations and Maintenance",5,"System Development & Demonstration",3600,"U",2012,,0,0,,,,0,
5837,"0305230F","MC-12",5,"System Development & Demonstration",3600,"U",2012,,0,0,,,,0,
5838,"0606392F","Space and Missile Center (SMC) Civilian Workforce",6,"Management Support",3600,"U",2012,,187096,158589,,,,0,
5839,"0207452F","DCAPES",7,"Operational Systems Development",3600,"U",2012,,0,0,,,,0,
5840,"0305145F","Arms Control Implementation",7,"Operational Systems Development",3600,"U",2012,,0,0,,,,0,
5841,"0305236F","Common Data Link Executive Agent (CDL EA)",7,"Operational Systems Development",3600,"U",2012,,0,0,,,,0,
5842,"0305238F","NATO AGS",7,"Operational Systems Development",3600,"U",2012,,0,0,,,,0,
5843,"0305240F","Support to DCGS Enterprise",7,"Operational Systems Development",3600,"U",2012,,0,0,,,,0,
5844,"0305881F","Rapid Cyber Acquisition",7,"Operational Systems Development",3600,"U",2012,,0,0,,,,0,
5845,"0603828J","Joint Experimentation",3,"Advanced Technology Development",400,"U",2012,,0,0,,,,0,
5846,"0603914C","Ballistic Missile Defense Test",4,"Advanced Component Development And Prototypes",400,"U",2012,,487699,484838,,,,0,
5847,"0603915C","Ballistic Missile Defense Targets",4,"Advanced Component Development And Prototypes",400,"U",2012,,454357,497550,,,,0,
5848,"0604775D8Z","Defense Rapid Innovation Program",4,"Advanced Component Development And Prototypes",400,"U",2012,,192805,199233,,,,0,
5849,"0604787J","Joint Systems Integration",4,"Advanced Component Development And Prototypes",400,"U",2012,,0,0,,,,0,
5850,"0604828J","Joint FIRES Integration and Interoperability Team",4,"Advanced Component Development And Prototypes",400,"U",2012,,0,0,,,,0,
5851,"0604886C","Advanced Remote Sensor Technology (ARST)",4,"Advanced Component Development And Prototypes",400,"U",2012,,0,0,,,,0,
5852,"0305304D8Z","DoD Enterprise Energy Information Management (EEIM)",5,"System Development And Demonstration",400,"U",2012,,0,0,,,,0,
5853,"0605151D8Z","Studies and Analysis Support - OSD",6,"Management Support",400,"U",2012,,0,0,,,,0,
5855,"0303166J","Support to Information Operations (IO) Capabilities",6,"Management Support",400,"U",2012,,0,0,,,,0,
5856,"0607828J","Joint Integration and Interoperability",7,"Operational System Development",400,"U",2012,,0,0,,,,0,
5857,"0305231BB","MQ-8 UAV",7,"Operational System Development",400,"U",2012,,0,0,,,,0,
5858,"0605028A","Armored Multi-Purpose Vehicle (AMPV)",5,"System Development & Demonstration",2040,"U",2012,,,0,,,,,
5859,"0605030A","Joint Tactical Network Center (JTNC)",5,"System Development & Demonstration",2040,"U",2012,,,0,,,,,
5860,"0605380A","AMF Joint Tactical Radio System (JTRS)",5,"System Development & Demonstration",2040,"U",2012,,,0,,,,,
5861,"0605766A","National Capabilities Integration (MIP)",5,"System Development & Demonstration",2040,"U",2012,,,0,,,,,
5862,"0607141A","Logistics Automation",7,"Operational Systems Development",2040,"U",2012,,,0,,,,,
5863,"0605525N","Carrier Onboard Delivery (COD) Follow On",7,"Operational Systems Development",1319,"U",2012,,,0,,,,,
5864,"0605555N","Strike Weapons Development",7,"Operational Systems Development",1319,"U",2012,,,0,,,,,
5865,"0305241N","Multi-Intelligence Sensor Development",7,"Operational Systems Development",1319,"U",2012,,,0,,,,,
5866,"0604458F","Air & Space Ops Center",4,"Advanced Component Development & Prototypes",3600,"U",2012,,,0,,,,,
5867,"0604618F","Joint Direct Attack Munition",4,"Advanced Component Development & Prototypes",3600,"U",2012,,,0,,,,,
5868,"0105921F","Service Support to STRATCOM - Space Activities",4,"Advanced Component Development & Prototypes",3600,"U",2012,,,0,,,,,
5869,"0207455F","Three Dimensional Long-Range Radar (3DELRR)",4,"Advanced Component Development & Prototypes",3600,"U",2012,,,0,,,,,
5870,"0603260F","Intelligence Advanced Development",5,"System Development & Demonstration",3600,"U",2012,,,0,,,,,
5871,"0605431F","Advanced EHF MILSATCOM (SPACE)",5,"System Development & Demonstration",3600,"U",2012,,,0,,,,,
5872,"0605432F","Polar MILSATCOM (SPACE)",5,"System Development & Demonstration",3600,"U",2012,,,0,,,,,
5873,"0605433F","Wideband Global SATCOM (SPACE)",5,"System Development & Demonstration",3600,"U",2012,,,0,,,,,
5874,"0604445F","Wide Area Surveillance",7,"Operational Systems Development",3600,"U",2012,,,0,,,,,
5875,"0208087F","AF Offensive Cyberspace Operations",7,"Operational Systems Development",3600,"U",2012,,,0,,,,,
5876,"0208088F","AF Defensive Cyberspace Operations",7,"Operational Systems Development",3600,"U",2012,,,0,,,,,
5877,"0305179F","Integrated Broadcast Service (IBS)",7,"Operational Systems Development",3600,"U",2012,,,0,,,,,
5878,"0601228D8Z","Historically Black Colleges and Universities/Minority Institutions",1,"Basic Research",400,"U",2012,,,0,,,,,
5879,"0602251D8Z","Applied Research for the Advancement of S&T Priorities",2,"Applied Research",400,"U",2012,,,0,,,,,
5880,"0602751D8Z","Software Engineering Institute (SEI) Applied Research",2,"Applied Research",400,"U",2012,,,0,,,,,
5881,"0604250D8Z","Advanced Innovative Technologies",4,"Advanced Component Development And Prototypes",400,"U",2012,,,0,,,,,
5882,"0604445J","Wide Area Surveillance",4,"Advanced Component Development And Prototypes",400,"U",2012,,,0,,,,,
5883,"0305103C","Cyber Security Initiative",4,"Advanced Component Development And Prototypes",400,"U",2012,,,0,,,,,
5884,"0605080S","Defense Agency Intiatives (DAI) - Financial System",5,"System Development And Demonstration",400,"U",2012,,,0,,,,,
5885,"0607210D8Z","Industrial Base Analysis and Sustainment Support",7,"Operational System Development",400,"U",2012,,,0,,,,,
5886,"0607310D8Z","CWMD Systems: Operational Systems Development",7,"Operational System Development",400,"U",2012,,,0,,,,,
5887,"0607327T","Global Theater Security Cooperation Management Information Systems (G-TSCMIS)",7,"Operational System Development",400,"U",2012,,,0,,,,,
5888,"1160431BB","Warrior Systems",7,"Operational System Development",400,"U",2012,,,0,,,,,
5889,"1160432BB","Special Programs",7,"Operational System Development",400,"Classified (Unnamed)",2012,,,0,,,,,
5890,"0605023HP","Information Technology Development - Integrated Electronic Health Record",2,"RDT&E",130,"U",2012,,,0,,,,,
5891,"0605025HP","Information Technology Development ? Theater Medical Information Program-Joint",2,"RDT&E",130,"U",2012,,,0,,,,,
4158,"0604796F","Alternative Fuels",4,"Advanced Component Development & Prototypes",3600,,2012,0,0,,,,0,0,
4187,"0604830F","Automated Air-to-Air Refueling",4,"Advanced Component Development & Prototypes",3600,,2012,0,0,,,,0,0,
4201,"0702239N","Avionics Component Improvement Program",7,"Operational Systems Development",1319,,2012,0,0,,,,0,0,
4246,"0605020BTA","Business Transformation Agency R&D Activities",5,"System Development and Demonstration (SDD)",400,,2012,0,0,,,,0,0,
4256,"0303149J","C4I for the Warrior",7,"Operational Systems Development",400,,2012,0,0,,,,0,0,
4303,"0604817A","Combat Identification",5,"System Development & Demonstration",2040,,2012,0,0,,,,0,0,
4376,"0305103D8Z","Cyber Security Initiative",7,"Operational Systems Development",400,,2012,411,411,,,,0,0,
4396,"0605018BTA","Defense Integrated Military Human Resources System (DIMHRS)",5,"System Development and Demonstration (SDD)",400,,2012,0,0,,,,0,0,
4434,"0603925N","Directed Energy and Electric Weapon Systems",4,"Advanced Component Development & Prototypes",1319,,2012,0,0,,,,0,0,
4523,"0604662A","FCS Reconnaissance (UAV) Platforms",5,"System Development & Demonstration",2040,,2012,0,0,,,,0,0,
4524,"0604665A","FCS Sustainment & Training R&D",5,"System Development & Demonstration",2040,,2012,0,0,,,,0,0,
4526,"0604664A","FCS Unattended Ground Sensors",5,"System Development & Demonstration",2040,,2012,499,0,,,,0,0,
4528,"0207445F","Fighter Tactical Data Link",7,"Operational Systems Development",3600,,2012,0,0,,,,0,0,
4545,"0605799D8Z","Emerging Capabilities",6,"RDT&E Management Support",400,,2012,0,0,,,,0,0,
4547,"0203759A","Force XXI Battle Command, Brigade and Below (FBCB2)",7,"Operational Systems Development",2040,,2012,0,0,,,,0,0,
4744,"0804757F","Joint National Training Center",7,"Operational Systems Development",3600,,2012,11,11,,,,0,0,
4797,"0909980F","Judgment Fund Reimbursement",6,"RDT&E Management Support",3600,,2012,,0,,,,,0,
4951,"1001018D8Z","NATO AGS",7,"Operational Systems Development",400,,2012,0,0,,,,0,0,
5039,"0901585C","Pentagon Reservation",6,"RDT&E Management Support",400,,2012,0,0,,,,0,0,
5087,"0605017D8Z","Reduction of Total Ownership Cost",4,"Advanced Component Development & Prototypes",400,,2012,0,0,,,,0,0,
5120,"0804758N","Service Support to JFCOM, JNTC",6,"RDT&E Management Support",1319,,2012,0,0,,,,0,0,
5127,"0603755N","Ship Self Defense - Dem/Val",4,"Advanced Component Development & Prototypes",1319,,2012,0,0,,,,0,0,
5131,"0603513N","Shipboard System Component Development",4,"Advanced Component Development & Prototypes",1319,,2012,0,0,,,,0,0,
5135,"0305234M","Small (Level 0) Tactical UAS (STUASL0)",7,"Operational Systems Development",1319,,2012,0,0,,,,0,0,
5152,"0604609A","Smoke, Obscurant and Target Defeating Sys - Eng Dev",5,"System Development & Demonstration",2040,,2012,0,0,,,,0,0,
5305,"0603942D8Z","Technology Transfer",3,"Advanced Technology Development (ATD)",400,,2012,0,0,,,,0,0,
5345,"0605140D8Z","Trusted Foundry",5,"System Development and Demonstration (SDD)",400,,2012,0,0,,,,0,0,
5396,"0807708D8Z","Wounded Ill and Injured Senior Oversight Committee (WII-SOC) Staff Office",5,"System Development and Demonstration (SDD)",400,,2012,0,0,,,,0,0,
5420,"0203347A","Intelligence Support to Cyber (ISC) MIP",7,"Operational Systems Development",2040,,2012,0,0,,,,0,0,
5426,"0303562N","Submarine Tactical Warfare Systems - MIP",4,"Advanced Component Development & Prototypes",1319,,2012,0,0,,,,0,0,
5431,"0304503N","SSN-688 and Trident Modernization - MIP",5,"System Development & Demonstration",1319,,2012,0,0,,,,0,0,
5436,"0604436F","Next-Generation MILSATCOM Technology Development",4,"Advanced Component Development & Prototypes",3600,,2012,0,0,,,,0,0,
5445,"0401315F","C-STOL Aircraft",7,"Operational Systems Development",3600,,2012,0,0,,,,0,0,
5454,"0604884C","Airborne Infrared (ABIR)",4,"Advanced Component Development & Prototypes",400,,2012,46877,0,,,,0,0,
5469,"0604284A","Joint Cooperative Target Identification - Ground (JCTI-G) / Technology Dev",4,"Advanced Component Development & Prototypes",2040,,2012,41652,15287,,,,0,0,
5487,"0801711F","Recruiting Activities",7,"Operational Systems Development",3600,,2012,0,0,,,,0,0,
5812,"0604775A","Defense Rapid Innovation Program",4,"Advanced Component Development & Prototypes",2040,"U",2012,,0,,,,,0,
5822,"0603128N","Unmanned Aerial System",4,"Advanced Component Development & Prototypes",1319,"U",2012,,0,,,,,0,
5823,"0604775N","Defense Rapid Innovation Program",4,"Advanced Component Development & Prototypes",1319,"U",2012,,0,,,,,0,
5830,"0604775F","Defense Rapid Innovation Program",4,"Advanced Component Development & Prototypes",3600,"U",2012,,0,,,,,0,
5854,"0605502D8W","Small Business Innovative Research",6,"RDT&E Management Support",400,"U",2012,,0,,,,,0,
4100,"0307207A","Aerial Common Sensor (ACS)",7,"Operational Systems Development",2040,,2012,0,,,,,0,,
4119,"0603327A","Air and Missile Defense Systems Engineering",4,"Advanced Component Development & Prototypes",2040,,2012,0,,,,,0,,
4159,"0604443F","Third Generation Infrared Surveillance (3GIRS)",5,"System Development & Demonstration",3600,,2012,0,,,,,0,,
4208,"0603883C","Ballistic Missile Defense Boost Defense Segment",4,"Advanced Component Development & Prototypes",400,,2012,0,,,,,0,,
4211,"0603897C","Ballistic Missile Defense Hercules",4,"Advanced Component Development & Prototypes",400,,2012,0,,,,,0,,
4236,"0603911C","BMD European Capability",4,"Advanced Component Development & Prototypes",400,,2012,0,,,,,0,,
4247,"0605430N","C/KC-130 Avionics Modernization Program (AMP)",5,"System Development & Demonstration",1319,,2012,0,,,,,0,,
4266,"0204201N","CG(X)",5,"System Development & Demonstration",1319,,2012,0,,,,,0,,
4374,"0605277F","CSAR-X RDT&E",5,"System Development & Demonstration",3600,,2012,0,,,,,0,,
4388,"0605648D8Z","Defense Acquisition Executive (DAE) Pilot Program",5,"System Development and Demonstration (SDD)",400,,2012,0,,,,,0,,
4436,"0303148K","DISA Mission Support Operations",7,"Operational Systems Development",400,,2012,0,,,,,0,,
4493,"0307217N","EP-3E Replacement (EPX)",7,"Operational Systems Development",1319,,2012,0,,,,,0,,
4516,"0702976F","Facilities Restoration & Modernization - Logistics",7,"Operational Systems Development",3600,,2012,0,,,,,0,,
4522,"0604660A","FCS Manned Grd Vehicles & Common Grd Vehicle",5,"System Development & Demonstration",2040,,2012,0,,,,,0,,
4582,"0603423F","Global Positioning System III - Operational Control Segment",4,"Advanced Component Development & Prototypes",3600,,2012,0,,,,,0,,
4585,"0601111D8Z","Government/Industry Cosponsorship of University Research",1,"Basic Research",400,,2012,0,,,,,0,,
4590,"0603768E","Guidance Technology",3,"Advanced Technology Development (ATD)",400,,2012,0,,,,,0,,
4710,"0604648D8Z","Joint Capability Technology Demonstrations",4,"Advanced Component Development & Prototypes",400,,2012,0,,,,,0,,
4713,"0303158F","Joint Command and Control Program (JC2)",7,"Operational Systems Development",3600,,2012,0,,,,,0,,
4722,"0604618F","Joint Direct Attack Munition",5,"System Development & Demonstration",3600,,2012,0,,,,,0,,
4742,"1160423BB","Joint Multi-Mission Submersible",7,"Operational Systems Development",400,,2012,0,,,,,0,,
4759,"0605452F","Joint SIAP Executive Program Office",5,"System Development & Demonstration",3600,,2012,0,,,,,0,,
4772,"0102325F","Atmospheric Early Warning System",7,"Operational Systems Development",3600,,2012,4485,,,,,0,,
4875,"0602234N","Materials, Electronics and Computer Technology",2,"Applied Research",1319,,2012,0,,,,,0,,
4949,"0305924F","National Security Space Office",7,"Operational Systems Development",3600,,2012,0,,,,,0,,
4997,"0604646A","Non-Line of Sight Launch System",5,"System Development & Demonstration",2040,,2012,0,,,,,0,,
5020,"1160426BB","Operations Advanced Seal Delivery System (ASDS) Development",7,"Operational Systems Development",400,,2012,0,,,,,0,,
5056,"0604778A","Positioning Systems Development (SPACE)",5,"System Development & Demonstration",2040,,2012,0,,,,,0,,
5133,"0207451F","Single Integrated Air Picture (SIAP)",5,"System Development & Demonstration",3600,,2012,0,,,,,0,,
5134,"0603879N","Single Integrated Air Picture (SIAP) System Engineer (SE)",4,"Advanced Component Development & Prototypes",1319,,2012,0,,,,,0,,
5146,"0605502BP","Small Business Innovative Research - Chemical Biological Def",6,"Management Support",400,,2012,0,,,,,0,,
5158,"1160407BB","SOF Medical Technology Development",2,"Applied Research",400,,2012,0,,,,,0,,
5270,"0603745D8Z","Synthetic Aperture Radar (SAR) Coherent Change Detection (CDD)",3,"Advanced Technology Development (ATD)",400,,2012,0,,,,,0,,
5339,"0804772F","Training Developments",7,"Operational Systems Development",3600,,2012,0,,,,,0,,
5354,"0603024A","Unique Item Identification (UID)",4,"Advanced Component Development & Prototypes",2040,,2012,0,,,,,0,,
5365,"1160428BB","Unmanned Vehicles (UV)",7,"Operational Systems Development",400,,2012,0,,,,,0,,
5388,"0603820A","Weapons Capability Modifications UAV",7,"Operational Systems Development",2040,,2012,24142,,,,,0,,
5462,"0909980A","Judgment Fund Reimbursement",6,"RDT&E Management Support",2040,,2012,0,,,,,0,,
5474,"0909980N","Judgment Fund Reimbursement",6,"RDT&E Management Support",1319,,2012,0,,,,,0,,
5492,"0401221F","KC-135 Tanker Replacement",5,"Tanker Replacement Transfer Fund, AF",3024,,2012,0,,,,,0,,
5493,"0901560F","Continuing Resolution Programs",20,"Undistributed",3024,,2012,0,,,,,0,,
5498,"0603250D8Z","Systems 2020 Advanced Technology Development",3,"Advanced Technology Development (ATD)",400,,2012,4381,,,,,0,,
5516,"0302168E","Wireless Innovation Fund",2,"Applied Research",400,,2012,1e+05,,,,,0,,
5530,"0901560HP","Continuing Resolution Programs",2,"RDT&E",130,,2012,0,,,,,0,,
5533,"0901560A","Continuing Resolution Programs",2,"Chem Agents & Munitions Destruct-RDT&E",390,,2012,0,,,,,0,,
5535,"0901560N","Continuing Resolution Programs",4,"Research and Development",4557,,2012,0,,,,,0,,
4051,"0207131F","A-10 Squadrons",7,"Operational Systems Development",3600,,2013,13538,13538,12347,,,0,0,
4052,"0604261N","Acoustic Search Sensors",5,"System Development & Demonstration",1319,,2013,34299,34299,32507,,,0,0,
4054,"0702806F","Acquisition and Management Support",6,"Management Support",3600,,2013,42430,42430,27457,,,0,0,
4057,"0203726A","Adv Field Artillery Tactical Data System",7,"Operational Systems Development",2040,,2013,32556,32556,26216,,,0,0,
4058,"0604501N","Advanced Above Water Sensors",5,"System Development & Demonstration",1319,,2013,255516,255516,235176,,,0,0,
4059,"0603203F","Advanced Aerospace Sensors",3,"Advanced Technology Development",3600,,2013,37657,37657,32818,,,0,0,
4061,"0603286E","Advanced Aerospace Systems",3,"Advanced Technology Development",400,,2013,174316,174316,168376,,,0,0,
4062,"0603382N","Advanced Combat Systems Technology",4,"Advanced Component Development & Prototypes",1319,,2013,1506,1506,1345,,,0,0,
4070,"0604756N","Ship Self Defense (Engage: Hard Kill)",5,"System Development & Demonstration",1319,,2013,64079,64079,52816,,,0,0,
