"ID","ProgramElement","ProgramElementTitle","BudgetActivity","BudgetActivityTitle","Account","Classified","FiscalYear","PB","App","Actual","CR","CR_OCO","OCO_PB","OCO_App","OCO_Sup"
4411,"0601102F","Defense Research Sciences",1,"Basic Research",3600,,2003,219144,217863,211559,,,,,
4412,"0303110F","Defense Satellite Communications System (SPACE)",7,,3600,,2003,2046,2016,2009,,,,,
4413,"0305911F","Defense Support Program (SPACE)",7,,3600,,2003,2090,2024,1935,,,,,
4414,"0605801KA","Defense Technical Information Center (DTIC)",6,"Management Support",400,,2003,0,0,0,,,,,
4415,"0605801K","Defense Technical Information Services (DTIC)",6,,400,,2003,45249,42396,42963,,,,,
4416,"0605798D8Z","Defense Technology Analysis",6,"Management Support",400,,2003,0,0,0,,,,,
4417,"0605798S","Defense Technology Analysis",6,,400,,2003,5201,5017,6625,,,,,
4418,"0603680D8Z","Defense-Wide Manufacturing Science and Technology Program",3,"Advanced Technology Development",400,,2003,0,0,0,,,,,
4419,"0607917F","Demonstration of Self Sustaining Energy Technology for Basic Expeditionary Airfi",7,"Operational system development",3605,,2003,0,0,0,,,,,
4420,"0604016D8Z","Department of Defense Corrosion Program",4,"Advanced Component Development And Prototypes",400,,2003,0,0,0,,,,,
4421,"0603932F","Deployable Multi-Fuels Electric Generator",3,"Advanced technology development",3605,,2003,0,0,0,,,,,
4422,"0603713S","Deployment and Distribution Enterprise Technology",5,,400,,2003,0,0,0,,,,,
4423,"0702207F","Depot Maintenance (Non-IF)",7,"Operational Systems Development",3600,,2003,1340,2296,2209,,,,,
