"ID","ProgramElement","ProgramElementTitle","BudgetActivity","BudgetActivityTitle","Account","Classified","FiscalYear","OriginType","PBtotal","PBtype","EnactedTotal","EnactedType","SpecialType","ActualTotal","MainAccountCode","TreasuryAgencyCode","IncludeInTOA"
5029,"0605027D8Z","OUSD(C) IT Development Initiatives",5,"System Development And Demonstration",400,,2001,"Total",0,,0,,,0,,,
5030,"0605147T","Overseas Humanitarian Assistance Shared Information System (OHASIS)",7,"Operational System Development",400,,2001,"Total",0,,0,,,0,,,
5031,"0604221N","P-3 Modernization Program",5,"System Development & Demonstration",1319,,2001,"Total",2906,,7333,,,7123,,,
5032,"0605127T","Regional International Outreach (RIO) and Partnership for Peace Information Mana",7,"Operational System Development",400,,2001,"Total",0,,1914,,,1914,,,
5033,"0605110T","Partnership for Peace (PfP) Information Management System (PIMS)",4,,400,,2001,"Total",1932,,0,,,0,,,
5034,"1001017D8Z","Partnership for Peace Activities",7,,400,,2001,"Total",0,,0,,,0,,,
5035,"0604865A","Patriot PAC-3 Theater Missile Defense Acquisition - EMD",5,,2040,,2001,"Total",0,,0,,,0,,,
5036,"0604865C","Patriot PAC-3 Theater Missile Defense Acquisition - EMD",5,,400,,2001,"Total",81016,,79851,,,81892,,,
5037,"0604869A","Patriot/MEADS Combined Aggregate Program (CAP)",5,"System Development & Demonstration",2040,,2001,"Total",0,,0,,,0,,,
5038,"0901585C","Pentagon Reservation",4,,400,,2001,"Total",4772,,4729,,,6129,,,
5039,"0901585C","Pentagon Reservation",6,"RDT&E Management Support",400,,2001,"Total",0,,0,,,0,,,
5040,"0901220F","Personnel Administration",7,"Operational Systems Development",3600,,2001,"Total",0,,0,,,0,,,
5041,"0604261F","Personnel Recovery Systems",5,,3600,,2001,"Total",0,,0,,,0,,,
5042,"0305191F","Personnel Security Investigations Program - Air Force",7,,3600,,2001,"Total",0,,0,,,0,,,
5043,"0603227F","Personnel, Training and Simulation Technology",3,,3600,,2001,"Total",6491,,6432,,,6171,,,
5044,"0604703N","Personnel, Training, Simulation, and Human Factors",5,"System Development & Demonstration",1319,,2001,"Total",1271,,1259,,,1234,,,
5045,"0604287F","Physical Security Equipment",5,"System Development & Demonstration",3600,,2001,"Total",0,,0,,,0,,,
5046,"0603228D8Z","Physical Security Equipment",4,,400,,2001,"Total",35108,,25866,,,25866,,,
5047,"0603287F","Physical Security Equipment",4,"Advanced Component Development & Prototypes",3600,,2001,"Total",0,,0,,,0,,,
5048,"0603525N","PILOT FISH",4,"Advanced Component Development & Prototypes",1319,"Classified (Named)",2001,"Total",107598,,106611,,,103604,,,
5049,"0632012D8Z","Plasma Fusion (Polywell)",2,"Applied Research",401,,2001,"Total",0,,0,,,0,,,
5050,"0632012N","Plasma Fusion (Polywell)",2,"Applied Research",1320,,2001,"Total",0,,0,,,0,,,
5051,"0603432F","Polar MILSATCOM (SPACE)",4,"Advanced Component Development & Prototypes",3600,,2001,"Total",26068,,25829,,,29229,,,
5052,"0305186D8Z","Policy R&D Programs",7,"Operational System Development",400,,2001,"Total",0,,0,,,0,,,
5053,"0605854A","Pollution Prevention",6,,2040,,2001,"Total",0,,0,,,0,,,
5054,"0605854F","Pollution Prevention",6,,3600,,2001,"Total",0,,0,,,0,,,
5055,"0603859F","Pollution Prevention - Dem/Val",4,"Advanced Component Development & Prototypes",3600,,2001,"Total",2543,,2519,,,2408,,,
5056,"0604778A","Positioning Systems Development (SPACE)",5,"System Development & Demonstration",2040,,2001,"Total",2420,,2398,,,2327,,,
5057,"0603114N","Power Projection Advanced Technology",3,"Advanced Technology Development",1319,,2001,"Total",0,,0,,,0,,,
5058,"0602114N","Power Projection Applied Research",2,"Applied Research",1319,,2001,"Total",0,,0,,,0,,,
5059,"0207249F","Precision Attack Systems",5,,3600,,2001,"Total",3965,,3928,,,3687,,,
5060,"0207249F","Precision Attack Systems Procurement",7,"Operational Systems Development",3600,,2001,"Total",0,,0,,,0,,,
5061,"0603238N","Precision Strike and Air Defense Technology",3,,1319,,2001,"Total",68555,,86752,,,90193,,,
5062,"0604659N","Precision Strike Weapons Development Program",4,"Advanced Component Development & Prototypes",1319,,2001,"Total",0,,0,,,0,,,
5063,"0305219F","MQ-1 Predator A UAV",7,"Operational Systems Development",3600,,2001,"Total",0,,0,,,0,,,
5064,"0909998N","Problem Disbursements",6,,1319,,2001,"Total",0,,0,,,64,,,
5065,"0708026F","Productivity, Reliability, Availability, Maintain. Prog Ofc (PRAMPO)",7,,3600,,2001,"Total",15227,,21032,,,20304,,,
5066,"0605801A","Programwide Activities",6,"RDT&E Management Support",2040,"Classified (Named)",2001,"Total",73811,,60734,,,67449,,,
5067,"0604165D8Z","Prompt Global Strike Capability Development",5,"System Development And Demonstration",400,,2001,"Total",0,,0,,,0,,,
5068,"0303135G","Public Key Infrastructure (PKI)",7,"Operational System Development",400,,2001,"Total",0,,0,,,0,,,
5069,"0603826D8Z","Quick Reaction Special Projects",3,"Advanced Technology Development",400,,2001,"Total",0,,0,,,0,,,
5070,"0605803S","R&D in Support of DoD Enlistment, Testing and Evaluation",6,,400,,2001,"Total",8776,,0,,,0,,,
5071,"0605803SE","R&D in Support of DoD Enlistment, Testing and Evaluation",3,,400,,2001,"Total",0,,0,,,0,,,
5072,"0605803SE","R&D in Support of DoD Enlistment, Testing and Evaluation",6,"Management Support",400,,2001,"Total",0,,8696,,,8696,,,
