"ID","ProgramElement","ProgramElementTitle","BudgetActivity","BudgetActivityTitle","Account","Classified","FiscalYear","OriginType","PBtotal","PBtype","EnactedTotal","EnactedType","SpecialType","ActualTotal","MainAccountCode","TreasuryAgencyCode","IncludeInTOA"
4297,"0804767D8Z","COCOM Exercise Engagement and Training Transformation (CE2T2) - MHA",6,"Management Support",400,,1999,"Total",,,,,,0,,,
4298,"0602304E","Cognitive Computing Systems",2,"Applied Research",400,,1999,"Total",,,,,,0,,,
4299,"0301323N","Collection Management",7,,1319,,1999,"Total",,,,,,0,,,
4300,"0604223A","Comanche",5,,2040,,1999,"Total",,,,,,352217,,,
4301,"0207431F","Combat Air Intelligence System Activities",7,"Operational Systems Development",3600,,1999,"Total",,,,,,0,,,
4302,"0604713A","Combat Feeding, Clothing, and Equipment",5,"System Development & Demonstration",2040,,1999,"Total",,,,,,62500,,,
4303,"0604817A","Combat Identification",5,"System Development & Demonstration",2040,,1999,"Total",,,,,,15520,,,
4304,"0603742F","Combat Identification Technology",4,"Advanced Component Development & Prototypes",3600,,1999,"Total",,,,,,5109,,,
4305,"0604518N","Combat Information Center Conversion",5,"System Development & Demonstration",1319,,1999,"Total",,,,,,6539,,,
4306,"0207414F","Combat Intelligence System",7,,3600,,1999,"Total",,,,,,13635,,,
4307,"0207227F","Combat Rescue - Pararescue",7,"Operational Systems Development",3600,,1999,"Total",,,,,,0,,,
4308,"0207224F","Combat Rescue and Recovery",7,"Operational Systems Development",3600,,1999,"Total",,,,,,0,,,
4309,"0603805A","Combat Service Support Control System Evaluation and Analysis",4,"Advanced Component Development & Prototypes",2040,,1999,"Total",,,,,,14312,,,
4310,"0305176F","Combat Survivor Evader Locator",5,"System Development & Demonstration",3600,,1999,"Total",,,,,,3977,,,
4311,"0603582N","Combat System Integration",4,"Advanced Component Development & Prototypes",1319,,1999,"Total",,,,,,38337,,,
4312,"0604735F","Combat Training Ranges",5,"System Development & Demonstration",3600,,1999,"Total",,,,,,13141,,,
4313,"0603005A","Combat Vehicle and Automotive Advanced Technology",3,"Advanced Technology Development",2040,,1999,"Total",,,,,,58706,,,
4314,"0602601A","Combat Vehicle and Automotive Technology",2,"Applied Research",2040,,1999,"Total",,,,,,38139,,,
4315,"0203735A","Combat Vehicle Improvement Programs",7,"Operational Systems Development",2040,,1999,"Total",,,,,,89010,,,
4316,"0305880L","Combatant Command Intelligence Operations",7,,400,,1999,"Total",,,,,,0,,,
4317,"0603122D8Z","Combating Terrorism Technology Support",3,"Advanced Technology Development",400,,1999,"Total",,,,,,36349,,,
4318,"0603125A","Combating Terrorism - Technology Development",3,"Advanced Technology Development",2040,,1999,"Total",,,,,,0,,,
4319,"0305172F","Combined Advanced Applications",7,,3600,"Classified (Named)",1999,"Total",,,,,,0,,,
4320,"0604780A","Combined Arms Tactical Trainer (CATT) Core",5,"System Development & Demonstration",2040,,1999,"Total",,,,,,21644,,,
4321,"0888888U","Combined Dummy PE",6,,3600,,1999,"Total",,,,,,0,,,
4322,"0305108K","Command and Control Research",2,,400,,1999,"Total",,,,,,1943,,,
4323,"0602702F","Command Control and Communications",2,"Applied Research",3600,,1999,"Total",,,,,,75208,,,
4324,"0603760E","Command, Control and Communications Systems",3,"Advanced Technology Development",400,,1999,"Total",,,,,,171370,,,
4325,"0603617F","Command, Control, and Communication Applications",4,,3600,,1999,"Total",,,,,,8234,,,
4326,"0603006A","Space Application Advanced Technology",3,"Advanced Technology Development",2040,,1999,"Total",,,,,,22892,,,
4327,"0604805A","Command, Control, Communications Systems - Eng Dev",5,"System Development & Demonstration",2040,,1999,"Total",,,,,,19618,,,
4328,"0602782A","Command, Control, Communications Technology",2,"Applied Research",2040,,1999,"Total",,,,,,21597,,,
4329,"0604805D8Z","Commercial Operations and Support Savings Initiative",5,,400,,1999,"Total",,,,,,7221,,,
4330,"0604805D8Z","Commercial Operations and Support Savings Initiative",7,,400,,1999,"Total",,,,,,0,,,
4331,"0604805F","Commercial Operations and Support Savings Initiative",5,,3600,,1999,"Total",,,,,,11617,,,
4332,"0604805N","Commercial Operations and Support Savings Initiative",5,,1319,,1999,"Total",,,,,,15208,,,
4333,"0604805N","Commercial Operations and Support Savings Initiative",7,,1319,,1999,"Total",,,,,,0,,,
4334,"0603752D8Z","Commercial Technology Insertion Program",3,,400,,1999,"Total",,,,,,0,,,
4335,"0604856F","Common Aero Vehicle (CAV)",4,,3600,,1999,"Total",,,,,,0,,,
4336,"0604762F","Common Low Observables Verification System (CLOVerS)",5,,3600,,1999,"Total",,,,,,4054,,,
4337,"0603235N","Common Picture Advanced Technology",3,"Advanced Technology Development",1319,,1999,"Total",,,,,,0,,,
4338,"0602235N","Common Picture Applied Research",2,"Applied Research",1319,,1999,"Total",,,,,,0,,,
4339,"0604234N","Advanced Hawkeye",5,"System Development & Demonstration",1319,,1999,"Total",,,,,,0,,,
4340,"0604263F","Common Vertical Lift Support Platform",7,"Operational Systems Development",3600,,1999,"Total",,,,,,0,,,
4341,"0603761E","Communication and Simulation Technology",3,,400,,1999,"Total",,,,,,50017,,,
4342,"0303401F","Communications Security (COMSEC)",7,,3600,,1999,"Total",,,,,,0,,,
4343,"0602232N","Communications, Command and Control, Intelligence, Surveil.",2,,1319,,1999,"Total",,,,,,71147,,,
4344,"0207253F","Compass Call",7,"Operational Systems Development",3600,,1999,"Total",,,,,,11892,,,
4345,"0602783A","Computer and Software Technology",2,"Applied Research",2040,,1999,"Total",,,,,,3777,,,
4346,"0708612F","Computer Resources Support Improvement Program (CRSIP)",7,,3600,,1999,"Total",,,,,,0,,,
4347,"0602301E","Computing Systems and Communications Technology",2,,400,,1999,"Total",,,,,,309100,,,
4348,"0605326A","Concepts Experimentation Program",6,"RDT&E Management Support",2040,,1999,"Total",,,,,,16954,,,
4349,"0303138N","Consolidated Afloat Network Enterprise Services (CANES)",7,"Operational Systems Development",1319,,1999,"Total",,,,,,0,,,
4350,"0204571N","Consolidated Training Systems Development",7,"Operational Systems Development",1319,,1999,"Total",,,,,,42903,,,
4351,"0604742A","Constructive Simulation Systems Development",5,"System Development & Demonstration",2040,,1999,"Total",,,,,,0,,,
4352,"0634003D8Z","Continuous Building Commissioning",4,"Advanced Component Development & Prototypes",401,,1999,"Total",,,,,,0,,,
4353,"0602602F","Conventional Munitions",2,"Applied Research",3600,,1999,"Total",,,,,,39106,,,
4354,"0603609N","Conventional Munitions",4,"Advanced Component Development & Prototypes",1319,,1999,"Total",,,,,,37105,,,
4355,"0603601F","Conventional Weapons Technology",3,"Advanced Technology Development",3600,,1999,"Total",,,,,,21878,,,
4356,"0603738D8Z","Cooperative DoD/VA Medical Research",3,,400,,1999,"Total",,,,,,5855,,,
4357,"0603658N","Cooperative Engagement",4,"Advanced Component Development & Prototypes",1319,,1999,"Total",,,,,,189667,,,
4358,"0102445F","Counterdrug Aerostats",7,,3600,,1999,"Total",,,,,,398,,,
4359,"0305889G","Counterdrug Intelligence Support",7,"Operational System Development",400,,1999,"Total",,,,,,5428,,,
4360,"0603889N","Counterdrug RDT&E Projects",4,"Advanced Component Development & Prototypes",1319,,1999,"Total",,,,,,24802,,,
4361,"0603889A","Counterdrug RDT&E Projects",4,,2040,,1999,"Total",,,,,,800,,,
4362,"0208889F","Counterdrug USSOUTHCOM Support",7,,3600,,1999,"Total",,,,,,0,,,
4363,"0602712A","Countermine Systems",2,"Applied Research",2040,,1999,"Total",,,,,,10265,,,
4364,"0603160BR","Counterproliferation Initiatives - Proliferation Prevention and Defeat",3,"Advanced Technology Development",400,,1999,"Total",,,,,,51954,,,
4365,"0605160BR","Counterproliferation Support",6,,400,,1999,"Total",,,,,,9114,,,
4366,"0605160D8Z","Counterproliferation Support",3,,400,,1999,"Total",,,,,,0,,,
4367,"0604421F","Counterspace Systems",5,"System Development & Demonstration",3600,,1999,"Total",,,,,,0,,,
4368,"0603231F","Crew Systems and Personnel Protection Technology",3,"Advanced Technology Development",3600,,1999,"Total",,,,,,28372,,,
4369,"0305125D8Z","Critical Infrastructure Protection (CIP)",7,"Operational System Development",400,,1999,"Total",,,,,,0,,,
4370,"0605110BR","Critical Technology Support",6,,400,,1999,"Total",,,,,,0,,,
4371,"0301011G","Cryptologic Activities",7,,400,,1999,"Total",,,,,,0,,,
4372,"0204574N","Cryptologic Direct Support",7,"Operational Systems Development",1319,,1999,"Total",,,,,,0,,,
4373,"0207277F","ISR Innovations",7,"Operational Systems Development",3600,,1999,"Total",,,,,,0,,,
4374,"0605277F","CSAR-X RDT&E",5,"System Development & Demonstration",3600,,1999,"Total",,,,,,0,,,
4375,"0401318F","CV-22",5,"System Development & Demonstration",3600,,1999,"Total",,,,,,0,,,
4376,"0305103D8Z","Cyber Security Initiative",7,"Operational Systems Development",400,,1999,"Total",,,,,,0,,,
4377,"0305103E","Cyber Security Initiative",6,"Management Support",400,,1999,"Total",,,,,,0,,,
4378,"0305103F","Cyber Security Initiative",7,"Operational Systems Development",3600,,1999,"Total",,,,,,0,,,
4379,"0305103K","Cyber Security Initiative",7,"Operational System Development",400,,1999,"Total",,,,,,0,,,
4380,"0305103G","Cyber Security Initiative",7,,400,,1999,"Total",,,,,,0,,,
4381,"0301371G","Cyber Security Initiative - CCP",7,,400,,1999,"Total",,,,,,0,,,
4382,"0301372N","Cyber Security Initiative - GDIP",7,,1319,,1999,"Total",,,,,,0,,,
4383,"0301372L","Cyber Security Initiative - GDIP",7,,400,,1999,"Total",,,,,,0,,,
4384,"0605897E","DARPA Agency Relocation",6,"Management Support",400,,1999,"Total",,,,,,0,,,
4385,"0204202N","DDG-1000",5,"System Development & Demonstration",1319,,1999,"Total",,,,,,0,,,
4386,"0601114D8Z","Defense Experimental Program to Stimulate Competitive Research",1,"Basic Research",400,,1999,"Total",,,,,,0,,,
4387,"0604051D8Z","Defense Acquisition Challenge Program (DACP)",5,"System Development And Demonstration",400,,1999,"Total",,,,,,0,,,
4388,"0605648D8Z","Defense Acquisition Executive (DAE) Pilot Program",5,"System Development and Demonstration (SDD)",400,,1999,"Total",,,,,,0,,,
4389,"0303165K","Defense Collaboration Tool Suite (DCTS)",7,,400,,1999,"Total",,,,,,0,,,
4390,"0601114A","Defense Experimental Program to Stimulate Competitive Research",1,,2040,,1999,"Total",,,,,,0,,,
4391,"0605737A","Defense Foreign Language Training Research",6,,2040,,1999,"Total",,,,,,0,,,
4392,"0305183L","Defense Human Intelligence (HUMINT) Program (DHIP)",7,,400,,1999,"Total",,,,,,0,,,
4393,"0305102BQ","Defense Imagery and Mapping Program",7,,400,,1999,"Total",,,,,,109098,,,
4394,"0302019K","Defense Info Infrastructure Engineering and Integration",7,"Operational System Development",400,,1999,"Total",,,,,,5584,,,
4395,"0604130V","Enterprise Security System (ESS)",7,"Operational System Development",400,,1999,"Total",,,,,,0,,,
4396,"0605018BTA","Defense Integrated Military Human Resources System (DIMHRS)",5,"System Development and Demonstration (SDD)",400,,1999,"Total",,,,,,0,,,
4397,"0605018SE","Defense Integrated Military Human Resources System (DIMHRS)",5,,400,,1999,"Total",,,,,,0,,,
4398,"0605014N","Defense Integrated Military Human Resources System (DIMHRS) - RDT&E",5,,1319,,1999,"Total",,,,,,0,,,
4399,"0305146F","Defense Joint Counterintelligence Activities",7,"Operational Systems Development",3600,,1999,"Total",,,,,,0,,,
4400,"0305146L","Defense Joint Counterintelligence Activities",7,,400,,1999,"Total",,,,,,0,,,
4401,"0305146BZ","Defense Joint Counterintelligence Program (JMIP)",7,,400,,1999,"Total",,,,,,0,,,
4402,"0305146D8Z","Defense Joint Counterintelligence Program (JMIP)",7,,400,,1999,"Total",,,,,,0,,,
4403,"0303129K","Defense Message System",5,,400,,1999,"Total",,,,,,0,,,
4404,"0305160F","Defense Meteorological Satellite Program (SPACE)",7,,3600,,1999,"Total",,,,,,19983,,,
4405,"0604774D8Z","Defense Readiness Reporting System (DRRS)",6,"Management Support",400,,1999,"Total",,,,,,0,,,
4406,"0305159F","Defense Reconnaissance Support Activities (SPACE)",7,,3600,"Classified (Named)",1999,"Total",,,,,,0,,,
4407,"0305159I","Defense Reconnaissance Support Activities (SPACE)",7,,400,,1999,"Total",,,,,,44141,,,
4408,"0601153N","Defense Research Sciences",1,"Basic Research",1319,,1999,"Total",,,,,,339479,,,
4409,"0601101E","Defense Research Sciences",1,"Basic Research",400,,1999,"Total",,,,,,57369,,,
4410,"0601102A","Defense Research Sciences",1,"Basic Research",2040,,1999,"Total",,,,,,122255,,,
4411,"0601102F","Defense Research Sciences",1,"Basic Research",3600,,1999,"Total",,,,,,197507,,,
4412,"0303110F","Defense Satellite Communications System (SPACE)",7,,3600,,1999,"Total",,,,,,10405,,,
4413,"0305911F","Defense Support Program (SPACE)",7,,3600,,1999,"Total",,,,,,13971,,,
4414,"0605801KA","Defense Technical Information Center (DTIC)",6,"Management Support",400,,1999,"Total",,,,,,0,,,
4415,"0605801K","Defense Technical Information Services (DTIC)",6,,400,,1999,"Total",,,,,,45040,,,
4416,"0605798D8Z","Defense Technology Analysis",6,"Management Support",400,,1999,"Total",,,,,,0,,,
4417,"0605798S","Defense Technology Analysis",6,,400,,1999,"Total",,,,,,7741,,,
4418,"0603680D8Z","Defense-Wide Manufacturing Science and Technology Program",3,"Advanced Technology Development",400,,1999,"Total",,,,,,0,,,
4419,"0607917F","Demonstration of Self Sustaining Energy Technology for Basic Expeditionary Airfi",7,"Operational system development",3605,,1999,"Total",,,,,,0,,,
4420,"0604016D8Z","Department of Defense Corrosion Program",4,"Advanced Component Development And Prototypes",400,,1999,"Total",,,,,,0,,,
4421,"0603932F","Deployable Multi-Fuels Electric Generator",3,"Advanced technology development",3605,,1999,"Total",,,,,,0,,,
4422,"0603713S","Deployment and Distribution Enterprise Technology",5,,400,,1999,"Total",,,,,,0,,,
4423,"0702207F","Depot Maintenance (Non-IF)",7,"Operational Systems Development",3600,,1999,"Total",,,,,,1438,,,
4424,"0702207N","Depot Maintenance (Non-IF)",7,"Operational Systems Development",1319,,1999,"Total",,,,,,49288,,,
4425,"0632007A","Develop smaller, lighter cogeneration and absorption environmental control syste",2,"Applied Research",2041,,1999,"Total",,,,,,0,,,
4426,"0603939F","Development and Demonstration of High Efficiency Portable Fuel Cells",3,"Advanced technology development",3605,,1999,"Total",,,,,,0,,,
4427,"0605808F","Development Planning",6,,3600,,1999,"Total",,,,,,3908,,,
4428,"0605804D8Z","Development Test and Evaluation",6,"Management Support",400,,1999,"Total",,,,,,0,,,
4429,"0605804D8Z","Development Test and Evaluation",6,,450,,1999,"Total",,,,,,94253,,,
4430,"0605804D8Z","Development Test and Evaluation",6,,460,,1999,"Total",,,,,,0,,,
4431,"0305865L","DIA support to SOCOM Intelligence Activities",7,,400,,1999,"Total",,,,,,0,,,
4432,"0305866L","DIA support to SOUTHCOM Intelligence Activities",7,,400,,1999,"Total",,,,,,0,,,
4433,"0203758A","Digitization",7,"Operational Systems Development",2040,,1999,"Total",,,,,,40056,,,
4434,"0603925N","Directed Energy and Electric Weapon Systems",4,"Advanced Component Development & Prototypes",1319,,1999,"Total",,,,,,0,,,
4435,"0602605F","Directed Energy Technology",2,"Applied Research",3600,,1999,"Total",,,,,,0,,,
4436,"0303148K","DISA Mission Support Operations",7,"Operational Systems Development",400,,1999,"Total",,,,,,0,,,
4437,"0305208BQ","Distributed Common Ground Systems",7,,400,,1999,"Total",,,,,,0,,,
4438,"0305208F","Distributed Common Ground/Surface Systems",7,"Operational Systems Development",3600,,1999,"Total",,,,,,20602,,,
4439,"0305208G","Distributed Common Ground Systems",7,,400,,1999,"Total",,,,,,0,,,
4440,"0305208L","Distributed Common Ground Systems",7,,400,,1999,"Total",,,,,,1958,,,
4441,"0305208N","Distributed Common Ground/Surface Systems",7,"Operational Systems Development",1319,,1999,"Total",,,,,,4933,,,
4442,"0305208A","Distributed Common Ground/Surface Systems",7,"Operational Systems Development",2040,,1999,"Total",,,,,,8585,,,
4443,"0305208BB","Distributed Common Ground/Surface Systems",7,"Operational System Development",400,,1999,"Total",,,,,,0,,,
4444,"0305208K","Distributed Common Ground/Surface Systems",7,"Operational System Development",400,,1999,"Total",,,,,,0,,,
4445,"0603769D8Z","Distributed Learning Advanced Technology Development",3,,400,,1999,"Total",,,,,,0,,,
4446,"0603769SE","Distributed Learning Advanced Technology Development",3,"Advanced Technology Development",400,,1999,"Total",,,,,,0,,,
4447,"0604227F","Distributed Mission Training (DMT)",5,,3600,,1999,"Total",,,,,,2180,,,
4448,"0604784N","Distributed Surveillance System",5,,1319,,1999,"Total",,,,,,47082,,,
4449,"0207697F","Distributed Training and Exercises",7,"Operational Systems Development",3600,,1999,"Total",,,,,,0,,,
4450,"0603713S","Deployment and Distribution Enterprise Technology",3,"Advanced Technology Development",400,,1999,"Total",,,,,,0,,,
4451,"0604760A","Distributive Interactive Simulations (DIS) - Eng Dev",5,"System Development & Demonstration",2040,,1999,"Total",,,,,,2634,,,
4452,"0605605A","DOD High Energy Laser Test Facility",6,"RDT&E Management Support",2040,,1999,"Total",,,,,,23131,,,
4453,"0203610A","Domestic Preparedness Against Weapons of Mass Destruction",7,,2040,,1999,"Total",,,,,,15000,,,
4454,"0602788F","Dominant Information Sciences and Methods",2,"Applied Research",3600,,1999,"Total",,,,,,0,,,
4455,"0305202F","Dragon U-2",7,"Operational Systems Development",3600,,1999,"Total",,,,,,0,,,
4456,"0305202G","Dragon U-2 (JMIP)",7,,400,,1999,"Total",,,,,,0,,,
4457,"0601000BR","DTRA Basic Research Initiative",1,"Basic Research",400,,1999,"Total",,,,,,0,,,
4458,"0603805S","Dual Use Technology",3,"Advanced Technology Development (ATD)",400,,1999,"Total",,,,,,5938,,,
4459,"0602805A","Dual Use Science and Technology",2,,2040,,1999,"Total",,,,,,9388,,,
4460,"0602805F","Dual Use Science and Technology Program",2,,3600,,1999,"Total",,,,,,9451,,,
