"","Referenced.IDV.PIID","PIID","Modification.Number","Transaction.Number","freq"
"18214","GS30FR0006","GSRPNNCL1249","0",0,1
"18215","GS30FR0005","GSRPNNCL1259","0",0,1
"18216","GS30FR0005","GSRPNNCL1309","0",0,1
"18217","GS30FR0006","GSRPNNCL1319","0",0,1
"18218","GS30FR0005","GSRPNNCL1369","0",0,1
"18219","GS30FR0005","GSRPNNCL1379","0",0,1
"18220","GS30FR0005","GSRPNNCL5519","0",0,1
"18221","GS30FR0005","GSRPNNCL5529","0",0,1
"18222","GS30FR0005","GSRPNNCL5559","0",0,1
"18223","GS30FR0006","GSRPNNCL5569","0",0,1
"18224","GS30FR0006","GSRPNNCL5619","0",0,1
"18225","GS30FR0006","GSRPNNCL5629","0",0,1
"18226","GS30FR0006","GSRPNNCL5639","0",0,1
"18227","GS30FR0006","GSRPNNCL5649","0",0,1
"18228","GS30FR0006","GSRPNNCL5749","0",0,1
"18229","GS30FR0006","GSRPNNCL5759","0",0,1
"18230","GS30FR0006","GSRPNNCL5779","0",0,1
"18231","GS30FR0006","GSRPNNCL5799","0",0,1
"18232","GS30FR0005","GSRPNNCL5809","0",0,1
"18233","GS30FR0006","GSRPNNCL5819","0",0,1
"18234","GS30FR0005","GSRPNNCL5869","0",0,1
"18235","GS30FR0005","GSRPNNCL5889","0",0,1
"18236","GS30FR0006","GSRPNNCL1389","0",0,1
"18237","GS30FR0005","GSRPNNCL1429","0",0,1
"18238","GS30FR0006","GSRPNNCL1449","0",0,1
"18239","GS30FR0005","GSRPNNCL1539","0",0,1
"18240","GS30FR0005","GSRPNNCL1549","0",0,1
"18241","GS30FR0005","GSRPNNCL1569","0",0,1
"18242","GS30FR0005","GSRPNNCL1649","0",0,1
"18243","GS30FR0005","GSRPNNCL1669","0",0,1
"18244","GS30FR0005","GSRPNNCL1699","0",0,1
"18245","GS30FR0005","GSRPNNCL1749","0",0,1
"18246","GS30FR0005","GSRPNNCL1809","0",0,1
"18247","GS30FR0005","GSRPNNCL1819","0",0,1
"18248","GS30FR0005","GSRPNNCL1839","0",0,1
"18249","GS30FR0005","GSRPNNCL1889","0",0,1
"18250","GS30FR0005","GSRPNNCL1939","0",0,1
"18251","GS30FR0005","GSRPNNCL1959","0",0,1
"18252","GS30FR0005","GSRPNNCL5919","0",0,1
"18253","GS30FR0005","GSRPNNCL5939","0",0,1
"18254","GS30FR0005","GSRPNNCL5949","0",0,1
