SARdate,Component,SARprogram,BaselineYear,BaseLineType,BaselineEstimateBaselineYear,BaselineEstimateThenYear,BaselineEstimateQuantity,ChangesToDateBaselineYear,ChangesToDateThenYear,ChangesToDateQuantity,CurrentEstimateBaselineYear,CurrentEstimateThenYear,CurrentEstimateQuantity,PrecntChangeToDateAdjustedForQuantityConstant,PrecntChangeToDateAdjustedForQuantityThenYear
12/1/2001,AIR FORCE,AEHF,2002,PE/DE," 3,798.10 "," 4,071.00 ", 2.00 ," 1,451.20 "," 1,490.30 ", 3.00 ," 5,249.30 "," 5,561.30 ", 5.00 , 38.20 , 36.60 
12/1/2001,AIR FORCE,AMRAAM,1992,PdE," 12,278.20 "," 13,112.40 "," 15,450.00 "," (2,005.50)"," (2,728.20)"," (4,533.00)"," 10,272.70 "," 10,384.20 "," 10,917.00 ", (0.40), 2.50 
12/1/2001,AIR FORCE,AWACS RSIP (E-3),1997,PdE, 890.10 , 891.30 , 32.00 , 126.10 , 115.00 , - ," 1,016.20 "," 1,006.30 ", 32.00 , 14.20 , 12.90 
12/1/2001,AIR FORCE,B-1 CMUP,1995,DE, 334.40 ," 1,115.20 ", 198.00 , 477.90 , 448.70 , (78.00), 812.30 ," 1,563.90 ", 120.00 , 401.70 , 73.90 
12/1/2001,AIR FORCE,C-130J,1996,PdE, 730.70 , 839.70 , 11.00 ," 11,890.90 "," 14,831.50 ", 157.00 ," 12,621.60 "," 15,671.20 ", 168.00 , 12.10 , 10.00 
12/1/2001,AIR FORCE,C-17A,1996,PdE," 41,250.90 "," 41,811.90 ", 210.00 ," 14,901.00 "," 17,186.40 ", (30.00)," 56,151.90 "," 58,998.30 ", 180.00 , 44.90 , 54.90 
12/1/2001,AIR FORCE,EELV,1995,DE," 13,116.60 "," 17,347.80 ", 181.00 ," 1,118.30 "," 1,037.30 ", 1.00 ," 14,234.90 "," 18,385.10 ", 182.00 , 7.50 , 5.10 
12/1/2001,AIR FORCE,F-22,1990,DE," 60,270.00 "," 99,109.00 ", 648.00 ," (6,140.80)"," (29,387.60)", (307.00)," 54,129.20 "," 69,721.40 ", 341.00 , 21.40 , 6.30 
12/1/2001,AIR FORCE,GBS,1997,DE, 451.40 , 497.10 , 346.00 , 147.70 , 148.60 , 402.00 , 599.10 , 645.70 , 748.00 , 1.20 , (1.40)
12/1/2001,AIR FORCE,GLOBAL HAWK,2000,DE," 4,350.30 "," 5,394.00 ", 63.00 ," 1,626.50 "," 1,452.60 ", (12.00)," 5,976.80 "," 6,846.60 ", 51.00 , 53.40 , 44.30 
12/1/2001,AIR FORCE,JASSM,1995,DE," 1,749.50 "," 2,073.30 "," 2,469.00 ", 824.80 ," 1,046.30 "," 1,319.00 "," 2,574.30 "," 3,119.60 "," 3,788.00 ", 14.30 , 11.30 
12/1/2001,AIR FORCE,JDAM,1995,DE/PdE," 2,580.90 "," 3,392.30 "," 88,126.00 ", 809.80 , 473.10 ," 48,623.00 "," 3,390.70 "," 3,865.40 "," 136,749.00 ", (4.40), (15.20)
12/1/2001,AIR FORCE,JPATS,2002,DE/PdE," 3,086.80 "," 4,050.60 ", 712.00 ," 1,510.50 ", 976.10 , 71.00 ," 4,597.30 "," 5,026.70 ", 783.00 , 33.80 , 13.50 
12/1/2001,AIR FORCE,JSTARS,1998,PdE," 9,932.30 "," 9,762.10 ", 20.00 , 1.30 , (134.10), (2.00)," 9,933.60 "," 9,628.00 ", 18.00 , 4.90 , 5.20 
12/1/2001,AIR FORCE,MINUTEMAN III GRP,1993,DE/PdE," 1,463.60 "," 1,636.20 ", 652.00 , 670.20 , 836.70 , (30.00)," 2,133.80 "," 2,472.90 ", 622.00 , 52.70 , 58.70 
12/1/2001,AIR FORCE,MINUTEMAN III PRP,1994,PdE," 2,086.80 "," 2,600.80 ", 607.00 , (147.50), (329.30), (1.00)," 1,939.30 "," 2,271.50 ", 606.00 , (7.00), (12.60)
12/1/2001,AIR FORCE,NAS,1990,DE, 573.30 , 791.10 , 53.00 , 257.00 , 321.60 , 37.00 , 830.30 ," 1,112.70 ", 90.00 , 6.30 , 3.20 
12/1/2001,AIR FORCE,NAVSTAR GPS,1979,PdE," 9,967.70 "," 13,177.80 "," 27,412.00 ", 319.60 ," 1,117.20 "," 226,253.00 "," 10,287.30 "," 14,295.00 "," 253,665.00 ", (4.50), (11.20)
12/1/2001,AIR FORCE,NPOESS (RDT&E),1996,PE," 4,314.20 "," 5,329.00 ", 5.00 , 239.80 , 37.50 , 1.00 ," 4,554.00 "," 5,366.50 ", 6.00 , 1.10 , (3.60)
12/1/2001,AIR FORCE,SBIRS (High),1995,DE," 3,679.50 "," 4,147.30 ", 5.00 ," 2,257.40 "," 2,596.20 ", - ," 5,936.90 "," 6,743.50 ", 5.00 , 60.20 , 61.50 
12/1/2001,AIR FORCE,TITAN IV,1985,DE," 2,150.50 "," 2,529.20 ", 10.00 ," 11,429.80 "," 14,955.40 ", 29.00 ," 13,580.30 "," 17,484.60 ", 39.00 , 227.10 , 439.80 
12/1/2001,AIR FORCE,WIDEBAND GAP FILLER,2001,PdE, 980.40 ," 1,042.50 ", 3.00 , (137.70), (165.60), - , 842.70 , 876.90 , 3.00 , (14.00), (15.90)
12/1/2001,AIR FORCE,Air Force Subtotal,,," 180,036.20 "," 234,721.60 ",," 41,628.30 "," 26,325.70 ",," 221,664.50 "," 261,047.30 ",, 26.90 , 20.00 
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
12/1/2001,DoD,CHEM DEMIL-COMBINED,1994,PdE," 13,471.10 "," 15,310.30 ", 15.00 ," 6,823.70 "," 8,391.70 ", - ," 20,294.80 "," 23,702.00 ", 15.00 , 50.70 , 54.80 
12/1/2001,DoD,JSF,2002,PE/DE," 64,659.80 "," 221,400.00 ", - ," 12,870.80 "," 5,058.30 "," 2,866.00 "," 177,530.60 "," 226,458.30 "," 2,866.00 ", 7.80 , 2.30 
12/1/2001,DoD,JSIMS,2001,DE," 1,281.60 "," 1,316.70 ", 1.00 , (21.70), (23.40), - ," 1,259.90 "," 1,293.30 ", 1.00 , (1.70), (1.80)
12/1/2001,DoD,DoD Subtotal,,," 179,412.50 "," 238,027.00 ",," 19,672.80 "," 13,426.60 ",," 199,085.30 "," 251,453.60 ",, 10.90 , 5.30 
12/1/2001,Total,Grand Total,,," 700,576.80 "," 908,641.50 ",," 162,504.90 "," 156,402.90 ",," 863,081.70 "," 1,065,044.40 ",, 19.30 , 11.40 
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
12/1/2002,ARMY,ABRAMS UPGRADE,1995,PdE," 6,991.90 "," 7,961.90 "," 1,060.00 ", 141.00 , (525.90), 95.00 ," 7,132.90 "," 7,436.00 "," 1,155.00 ", 25.80 , 21.60 
